Book Name,Author,Rating,Number_of_Reviews,Price,Description,Listening Time,Ranks and Genre,Time,combined_text,cluster,dbscan_cluster,agglo_cluster
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3795.0,12356.0,"Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",10 hours and 6 minutes,",#11 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Consumer Behaviour,#1 in Marketing (Audible Audiobooks & Originals),#1 in Earth Sciences Books",606.0,"Influence: The Psychology of Persuasion Robert B. Cialdini Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings.  ,#11 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Consumer Behaviour,#1 in Marketing (Audible Audiobooks & Originals),#1 in Earth Sciences Books",3,-1,0
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43.0,0.0,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",7 hours and 19 minutes,",#2 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Small Businesses,#1 in Business Management",439.0,"Dream With Your Eyes Open: An Entrepreneurial Journey Ronnie Screwvala UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.   ,#2 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Small Businesses,#1 in Business Management",4,-1,6
The Sandman,Neil Gaiman,5.0,1.0,1171.0,"Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",10 hours and 54 minutes,",#16 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Epic Fantasy,#1 in Dark Fantasy,#16 in Fantasy (Books)",654.0,"The Sandman Neil Gaiman Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised.  ,#16 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Epic Fantasy,#1 in Dark Fantasy,#16 in Fantasy (Books)",3,-1,2
How to Win Friends and Influence People,Dale Carnegie,4.5,21000.0,668.0,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. ",8 hours and 5 minutes,",#18 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Communication & Social Skills,#76 in Personal Development & Self-Help",485.0,"How to Win Friends and Influence People Dale Carnegie How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times.  ,#18 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Communication & Social Skills,#76 in Personal Development & Self-Help",9,-1,0
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28237.0,10378.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4 hours,",#10 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Metaphysical & Visionary Fiction,#1 in Literary Fiction,#6 in Crime, Thriller & Mystery (Books)",10.0,"The Alchemist: A Fable About Following Your Dream Paulo Coelho 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
 ,#10 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Metaphysical & Visionary Fiction,#1 in Literary Fiction,#6 in Crime, Thriller & Mystery (Books)",7,-1,7
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9865.0,1093.0,Brought to you by Penguin.,20 hours and 1 minute,",#13 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Decision Making & Problem Solving,#3 in Psychology (Audible Audiobooks & Originals),#8 in Personal Success",1201.0,"Thinking, Fast and Slow Daniel Kahneman Brought to you by Penguin. ,#13 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Decision Making & Problem Solving,#3 in Psychology (Audible Audiobooks & Originals),#8 in Personal Success",4,-1,0
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,38.0,0.0,"The protagonist of Just Do It is Phil Knight, a reclusive billionaire who started a two-man operation importing Japanese running shoes and built it into a $4 billion company. Irreverent, unpredictable, and leery of the sports establishment, Knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors Reebok and Adidas. To outsiders, Nike was a cult. Insiders believed they were furthering the company's mission: to improve the performance of serious athletes. ",14 hours,",#3 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Popular Culture Studies,#1 in Biographies of Business Leaders,#1 in Biographies of Actors",10.0,"Just Do It: The Nike Spirit in the Corporate World Donald Katz The protagonist of Just Do It is Phil Knight, a reclusive billionaire who started a two-man operation importing Japanese running shoes and built it into a $4 billion company. Irreverent, unpredictable, and leery of the sports establishment, Knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors Reebok and Adidas. To outsiders, Nike was a cult. Insiders believed they were furthering the company's mission: to improve the performance of serious athletes.  ,#3 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Popular Culture Studies,#1 in Biographies of Business Leaders,#1 in Biographies of Actors",6,-1,0
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6.0,3037.0,"Now updated to include Chapter Name Information, so you can easily find your favourite story or novel",71 hours and 57 minutes,",#15 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Private Investigator Mysteries,#14 in Crime, Thriller & Mystery (Books)",4317.0,"Sherlock Holmes: The Definitive Collection Arthur Conan Doyle Now updated to include Chapter Name Information, so you can easily find your favourite story or novel ,#15 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Private Investigator Mysteries,#14 in Crime, Thriller & Mystery (Books)",3,-1,1
Becoming,Michelle Obama,4.6,13941.0,1093.0,Penguin presents the audiobook edition of Becoming by Michelle Obama.,19 hours and 3 minutes,",#12 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Women Biographies,#13 in Biographies & Autobiographies (Books)",1143.0,"Becoming Michelle Obama Penguin presents the audiobook edition of Becoming by Michelle Obama. ,#12 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Women Biographies,#13 in Biographies & Autobiographies (Books)",6,-1,0
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72.0,1005.0,"Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come.",10 hours and 31 minutes,",#17 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Careers,#1 in Biographies of Business Leaders,#3 in Personal Finance",631.0,"The Warren Buffett Way: 3rd Edition Robert Hagstrom Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come. ,#17 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Careers,#1 in Biographies of Business Leaders,#3 in Personal Finance",4,-1,0
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2836.0,1093.0,Brought to you by Penguin.,11 hours and 41 minutes,",#14 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Political Science History & Theory,#1 in United States Politics & Government,#1 in Political Theory",701.0,"21 Lessons for the 21st Century Yuval Noah Harari Brought to you by Penguin. ,#14 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Political Science History & Theory,#1 in United States Politics & Government,#1 in Political Theory",6,-1,0
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,952.0,10378.0,Secrets of the Millionaire Mind reveals the missing link between wanting success and achieving it! ,5 hours and 10 minutes,",#21 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Business Motivation & Self-Improvement,#4 in Investing & Trading",310.0,"Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth T. Harv Eker Secrets of the Millionaire Mind reveals the missing link between wanting success and achieving it!  ,#21 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Business Motivation & Self-Improvement,#4 in Investing & Trading",4,-1,0
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419.0,668.0,"We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. ",5 hours and 56 minutes,",#19 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Personal Finance,#35 in Business & Economics,#85 in Personal Development & Self-Help",356.0,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You Monika Halan We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement.  ,#19 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Personal Finance,#35 in Business & Economics,#85 in Personal Development & Self-Help",9,-1,0
Elon Musk,Ashlee Vance,4.5,6491.0,888.0,Brought to you by Penguin.,13 hours and 23 minutes,",#23 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Biographies of Science & Technology Leaders,#3 in Engineering & Technology (Books),#3 in Biographies of Business Leaders",803.0,"Elon Musk Ashlee Vance Brought to you by Penguin. ,#23 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Biographies of Science & Technology Leaders,#3 in Engineering & Technology (Books),#3 in Biographies of Business Leaders",6,-1,0
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7585.0,351.0,"Author Robin Sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. This abridged audiobook is one of Sharma Leadership International's all-time best-selling audio products.",2 hours and 40 minutes,",#22 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Christianity (Books),#2 in Spirituality (Audible Audiobooks & Originals),#6 in Spirituality (Books)",160.0,"The Monk Who Sold His Ferrari Robin Sharma Author Robin Sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. This abridged audiobook is one of Sharma Leadership International's all-time best-selling audio products. ,#22 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Christianity (Books),#2 in Spirituality (Audible Audiobooks & Originals),#6 in Spirituality (Books)",3,-1,4
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18381.0,99.0,"""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",7 hours and 13 minutes,",#30 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in New Thought Spirituality,#11 in Personal Success,#52 in Mind, Body & Spirit",433.0,"The Power of Your Subconscious Mind Joseph Murphy ""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being. ,#30 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in New Thought Spirituality,#11 in Personal Success,#52 in Mind, Body & Spirit",9,-1,4
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11336.0,836.0,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America. ",13 hours and 37 minutes,",#35 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Biographies & Memoirs (Audible Audiobooks & Originals),#13 in Personal Success,#44 in Biographies & Autobiographies (Books)",817.0,"Can't Hurt Me: Master Your Mind and Defy the Odds David Goggins For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America.  ,#35 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Biographies & Memoirs (Audible Audiobooks & Originals),#13 in Personal Success,#44 in Biographies & Autobiographies (Books)",6,-1,0
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6733.0,888.0,Brought to you by Penguin.,10 hours and 53 minutes,",#24 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Organisational Behaviour,#1 in Science,#10 in Personal Success",653.0,"The Power of Habit: Why We Do What We Do, and How to Change Charles Duhigg Brought to you by Penguin. ,#24 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Organisational Behaviour,#1 in Science,#10 in Personal Success",9,-1,0
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11978.0,999.0,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" ",9 hours and 33 minutes,",#29 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Family Life Fiction for Children,#1 in Fantasy & Magic for Children,#1 in Fiction on Friendship for Children",573.0,"Harry Potter and the Philosopher's Stone, Book 1 J.K. Rowling ""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.""  ,#29 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Family Life Fiction for Children,#1 in Fantasy & Magic for Children,#1 in Fiction on Friendship for Children",5,-1,1
Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,304.0,752.0,"Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor. ",10 hours and 33 minutes,",#33 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Indian History (Audible Audiobooks & Originals),#1 in Imperialism,#1 in Colonialism & Post-Colonialism",633.0,"Inglorious Empire: What the British Did to India Shashi Tharoor Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor.  ,#33 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Indian History (Audible Audiobooks & Originals),#1 in Imperialism,#1 in Colonialism & Post-Colonialism",8,-1,0
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4483.0,836.0,"Without the darkness, light has no purpose. ",11 hours and 32 minutes,",#39 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction Sagas,#2 in Epic Fantasy,#40 in Fantasy (Books)",692.0,"Raavan: Enemy of Aryavarta Amish Tripathi Without the darkness, light has no purpose.  ,#39 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction Sagas,#2 in Epic Fantasy,#40 in Fantasy (Books)",5,-1,1
My Gita,Devdutt Pattanaik,4.2,1244.0,501.0,"In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible. ",6 hours and 15 minutes,",#26 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Philosophy (Audible Audiobooks & Originals),#1 in Hinduism (Audible Audiobooks & Originals),#2 in Theology & Philosophy of Religion",375.0,"My Gita Devdutt Pattanaik In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible.  ,#26 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Philosophy (Audible Audiobooks & Originals),#1 in Hinduism (Audible Audiobooks & Originals),#2 in Theology & Philosophy of Religion",3,-1,0
Zero to One,Peter Thiel,4.4,5331.0,615.0,"What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",4 hours and 50 minutes,",#25 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Management,#2 in Entrepreneurship (Audible Audiobooks & Originals),#2 in Organisational Behaviour",290.0,"Zero to One Peter Thiel What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar.  ,#25 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Management,#2 in Entrepreneurship (Audible Audiobooks & Originals),#2 in Organisational Behaviour",4,-1,0
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2434.0,750.0,An instant New York Times best seller and number one Wall Street Journal best seller,12 hours and 57 minutes,",#36 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Memory Improvement,#4 in Psychology (Audible Audiobooks & Originals),#14 in Personal Success",777.0,"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life Jim Kwik An instant New York Times best seller and number one Wall Street Journal best seller ,#36 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Memory Improvement,#4 in Psychology (Audible Audiobooks & Originals),#14 in Personal Success",9,-1,4
